company,location,perks,posted,request_date,salary,tags,title
Müller-BBM Active Sound Technology GmbH,"
             - 
Planegg, Deutschland        ",Remote,4h ago,2018-11-15 13:42:45.763892,,"c, embedded, python, signal-processing, automated-tests",Softwareentwickler (m/w/d) Embedded DSP
DAZN,"
             - 
London, UK        ","Visa sponsor, Paid relocation",4h ago,2018-11-15 13:42:45.763892,,"reactjs, javascript, frontend, redux, micro-frontend",Front End Engineer
DAZN,"
             - 
London, UK        ","Visa sponsor, Paid relocation",4h ago,2018-11-15 13:42:45.763892,,"aws-lambda, node.js, serverless, devops",Developer Experience Engineer
Dembach Goo Informatik GmbH & Co. KG,"
             - 
Köln, Deutschland        ",,4h ago,2018-11-15 13:42:45.779516,€50k - 80k,"cloud, linux, continuous-integration, containers, continuous-delivery",DevOps Engineer (w/m)
Breuninger GmbH & Co.,"
             - 
Stuttgart, Deutschland        ",,4h ago,2018-11-15 13:42:45.779516,,"java, javascript, scala, sql, cloud",Software-Engineer (m/w) Java/Scala
Breuninger GmbH & Co.,"
             - 
Stuttgart, Deutschland        ",,4h ago,2018-11-15 13:42:45.779516,,"java, scala, html5, css3, scrum",Software-Engineer (m/w)
Breuninger GmbH & Co.,"
             - 
Stuttgart, Deutschland        ",,4h ago,2018-11-15 13:42:45.779516,,"hadoop, apache-beam, google-bigquery, data-science, python",Chapter Lead (m/w) Data Engineering Standort Stuttgart
Conrad Electronic SE,"
             - 
Hirschau, Deutschland        ",Paid relocation,4h ago,2018-11-15 13:42:45.779516,,"java, hibernate, oracle, postgresql, talend",Java Developer eCommerce - Backend Services (m/w)
Red Ventures Limited,"
             - 
London, UK        ",,4h ago,2018-11-15 13:42:45.779516,,"amazon-web-services, automation, terraform, continuous-integration, docker",Cloud Engineer
NTT DATA Deutschland GmbH,"
             - 
Frankfurt am Main, Deutschland        ",Paid relocation,4h ago,2018-11-15 13:42:45.779516,,"javascript, java, angularjs, jquery, html5",(Junior) Softwareentwickler Frontend (m/w)
NTT DATA Deutschland GmbH,"
             - 
München, Deutschland        ",Paid relocation,4h ago,2018-11-15 13:42:45.779516,,"java, docker, kubernetes, linux, go",Senior / Lead Engineer (m/w) Cloud Services
Achmea,"
             - 
Zeist, Netherlands        ",,5h ago,2018-11-15 13:42:45.779516,,"javascript, .net, c#, asp.net",.NET web developer
Deposit Solutions GmbH,"
             - 
Hamburg, Deutschland        ",Paid relocation,5h ago,2018-11-15 13:42:45.779516,,"java, spring, rest, mysql",(Senior) Software Engineer/Developer - Java - FinTech
Tessian,"
             - 
London, UK        ",Paid relocation,5h ago,2018-11-15 13:42:46.279482,"£30k - 75k

                         | 
Equity","javascript, frontend, reactjs, angularjs, python",Frontend Team Lead
Comcast,"
             - 
Philadelphia, PA        ",,5h ago,2018-11-15 13:42:46.279482,,"ios, android, objective-c, java","Senior Android Engineer, Digital Home"
Comcast,"
             - 
West Chester, PA        ",,5h ago,2018-11-15 13:42:46.279482,,"web-services, design","Eng 4, Software Dev & Engineering"
Comcast,"
             - 
Philadelphia, PA        ",,5h ago,2018-11-15 13:42:46.279482,,"ios, android, objective-c",Mobile Developer
Comcast,"
             - 
Philadelphia, PA        ",,5h ago,2018-11-15 13:42:46.279482,,"web-services, clojure, oop",Senior Mobile Architect
Comcast,"
             - 
Cambridge, MA        ",,5h ago,2018-11-15 13:42:46.279482,,"automation, testing, automated-tests","Eng 3, Software Dev & Engineering (SDET)"
Comcast,"
             - 
Centennial, CO        ",,5h ago,2018-11-15 13:42:46.279482,,"web-services, project-management, design","Eng 2, Engineering Ops"
Achmea,"
             - 
Apeldoorn, Netherlands        ",,5h ago,2018-11-15 13:42:46.279482,,"angularjs, reactjs, sass",Front-end Developer
JP Morgan Chase,"
             - 
Glasgow, UK        ",,5h ago,2018-11-15 13:42:46.295085,,"java, python, sql",Java Backend Software Engineer - Mobile Centre of Excellence
Bending Spoons,"
             - 
Milan, Lombardy, Italy        ",,5h ago,2018-11-15 13:42:46.295085,,"objective-c, ios, iphone, ipad",iOS Engineer
Bending Spoons,"
             - 
Milano, Italy        ","Visa sponsor, Paid relocation",5h ago,2018-11-15 13:42:46.295085,€40k - 60k,"mobile, swift, uikit, flutter, ios","Software Engineer, Mobile"
Bending Spoons,"
             - 
Milano, Italy        ","Visa sponsor, Paid relocation",5h ago,2018-11-15 13:42:46.295085,"€38k - 50k

                         | 
Equity","python, google-cloud-platform, angularjs, redis, mongodb","Software Engineer, Tools & Infrastructure"
Doctolib,"
             - 
Paris, France        ",,5h ago,2018-11-15 13:42:46.295085,,"ruby-on-rails, javascript, tdd, code-review, agile",Engineering Manager
ITG,"
             - 
Paris, France        ",,5h ago,2018-11-15 13:42:46.295085,,"reactjs, sql, c#, typescript, html",Support Engineer
Tessian,"
             - 
London, UK        ",Paid relocation,5h ago,2018-11-15 13:42:46.295085,"£30k - 75k

                         | 
Equity","javascript, frontend, reactjs, angularjs, python",Senior Javascript Developer
Game On Media Ltd,"
             - 
Dublin, Ireland        ",,5h ago,2018-11-15 13:42:46.295085,,"visualisation, sql, rdms, powershell, microsoft-exchange",Senior Systems Administrator
Tessian,"
             - 
London, UK        ",Paid relocation,5h ago,2018-11-15 13:42:46.295085,"£30k - 75k

                         | 
Equity","javascript, frontend, reactjs, angularjs, python",Javascript Team Lead
IBM,"
             - 
Bratislava, Slovakia        ",,5h ago,2018-11-15 13:42:46.295085,,"cloud, javascript, java, tdd",Full Stack Web Developer - Cloud Applications
Zalando SE,"
             - 
Berlin, Germany        ",,5h ago,2018-11-15 13:42:46.295085,,"java, python, scala, amazon-web-services, data-warehouse",Senior Data Engineer - Zalon Data
PlusPeter,"
             - 
Berlin, Germany        ",Paid relocation,5h ago,2018-11-15 13:42:46.310729,€50k - 70k,"reactjs, ecmascript-6, redux, rxjs",Front End Engineer (m/w)
Scalable Capital GmbH,"
             - 
München, Germany        ","Visa sponsor, Paid relocation",5h ago,2018-11-15 13:42:46.310729,€50k - 90k,"java, spring-boot, spring, docker, kotlin",Java Engineer (Mid - Senior)
moovel Group GmbH,"
             - 
Hamburg, Germany        ",,5h ago,2018-11-15 13:42:46.310729,,"android, agile, rx-java, dagger-2, java",Android Developer
Scalable Capital GmbH,"
             - 
München, Germany        ","Visa sponsor, Paid relocation",5h ago,2018-11-15 13:42:46.310729,€50k - 90k,"android, java, realm",Android Engineer (Mid - Senior)
Vimcar GmbH,"
             - 
Berlin, Germany        ",,5h ago,2018-11-15 13:42:46.310729,€50k - 60k,"docker, amazon-web-services, python, flask, sql","Backend Software Engineer - Web Application Development (m/f/d), Berlin"
BBM,"
             - 
Tanah Abang, Indonesia        ",,5h ago,2018-11-15 13:42:46.310729,,"amazon-web-services, ansible, python, shell, google-cloud-platform, sysadmin",DevOps Technical Expert
Cambridge Consultants,"
             - 
Cambridge, UK        ",Paid relocation,6h ago,2018-11-15 13:42:46.935687,,"c#, python, windows, linux, tcp-ip",Secure Server Developer
Cambridge Consultants,"
             - 
Cambridge, UK        ",Paid relocation,6h ago,2018-11-15 13:42:46.935687,,"embedded, c, protocols, python, real-time",Embedded Software Engineer
BBM,"
             - 
Tanah Abang, Indonesia        ",,6h ago,2018-11-15 13:42:46.935687,,"android, java, kotlin, tdd, rx-java",Android Technical Expert
OpsTalent,"
             - 
Wrocław, Poland        ",On-site and limited remote,6h ago,2018-11-15 13:42:46.935687,zł192k - 264k,"reactjs, .net, aws, typescript",Senior Software Engineer (with .Net and React)
Hays plc,"
             - 
Berlin, Deutschland        ",,6h ago,2018-11-15 13:42:46.935687,,"python, devops, javascript",IoT-Plattformingenieur/ DevOps (m/w) - 377256/8
Unmortgage,"
             - 
London, UK        ",,6h ago,2018-11-15 13:42:46.935687,£45k - 65k,"agile, web-services, python, kubernetes, documentation",Back End Developer
moovel Group GmbH,"
             - 
Hamburg, Germany        ",,6h ago,2018-11-15 13:42:46.935687,,"ios, swift, objective-c, fastlane, teamcity",iOS Developer (f/m)
fashionTrade,"
             - 
Amsterdam, Netherlands        ",,6h ago,2018-11-15 13:42:46.935687,,"java, microservices, kubernetes, nosql, apache-kafka",Senior Backend Software Engineer
Zonal Retail Data Systems,"
             - 
Edinburgh, UK        ",,6h ago,2018-11-15 13:42:46.951311,,".net, c#, php, c++",Product Delivery Manager
VOLKE Consulting Engineers GmbH & Co. Planungs KG,"
             - 
München, Deutschland        ",,6h ago,2018-11-15 13:42:46.951311,€45k - 60k,"sql, javascript, html, jquery, css",Junior Softwareentwickler Webanwendung Full-Stack (m/w)
Visma Solutions Oy,"
             - 
Lappeenranta, Finland        ",On-site and limited remote,6h ago,2018-11-15 13:42:46.951311,€36k - 60k,".net, sql-server, iis, javascript, sql",Software Developer (Lappeenranta & Helsinki)
