title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
Senior Software Engineer - Python,"reactjs, python, double-click-advertising, amazon-web-services, google-cloud-platform",Paid relocation,"Califórnia, EUA",Los Angeles,BuzzFeed,2018-11-14 19:42:49.169918,-,0,0,0.0
Senior/Principal Software Engineers - (Scheduling),"python, amazon-web-services, saas, elasticsearch",,"Massachusetts, EUA",Boston,Kyruus,2018-11-14 19:42:49.169918,$,34,51,42.5
Authentication/Security Engineer,"java, python, sql",,"Ohio, EUA",Columbus,JP Morgan Chase,2018-11-14 19:42:49.169918,-,0,0,0.0
Sr. Big Data Software Engineer,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 19:42:49.169918,-,0,0,0.0
Lead Full Stack Java Software Engineer - Treasury Services,"java, python, sql",,"Nova Jersey, EUA",Jersey City,JP Morgan Chase,2018-11-14 19:42:49.169918,-,0,0,0.0
Full Stack Java / UI Software Engineer - Treasury Services,"java, python, sql",,"Nova Jersey, EUA",Jersey City,JP Morgan Chase,2018-11-14 19:42:49.169918,-,0,0,0.0
Sr. Big Data Software Engineer,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 19:42:49.743389,-,0,0,0.0
Lead Big Data Software Engineer,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 19:42:49.743389,-,0,0,0.0
Java Software Engineer,"java, python, sql",,"Illinois, EUA",Chicago,JP Morgan Chase,2018-11-14 19:42:49.743389,-,0,0,0.0
QA Engineer - Migrations,"java, python, sql",,"Illinois, EUA",Chicago,JP Morgan Chase,2018-11-14 19:42:49.743389,-,0,0,0.0
Cybersecurity Product Manager - Data Protection  |  DLP,"java, python, sql",,"Ohio, EUA",Columbus,JP Morgan Chase,2018-11-14 19:42:49.743389,-,0,0,0.0
DevOps - Software Engineering,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 19:42:49.743389,-,0,0,0.0
Vil du være med å utvikle Europas ledende CRM-løsning?,".net, c#, javascript, html, css",,Noruega,Oslo,Express Rekruttering AS,2018-11-14 18:42:49.743389,-,0,0,0.0
Mid-Senior Level .NET Developer,"asp.net-mvc, c#, vb.net, javascript, jquery",,"Texas, EUA",Dallas,PCMS,2018-11-14 18:42:49.759012,$,37,51,44.0
